ville;abri;ID DSP;ID Autolib;adresse;Code Postal;prises Autolib;prises Tiers T3;type;XY
Nanterre;1.0;92050-13;Nanterre/Champs Pierreux/29;29 avenue des Champs Pierreux;92000;4.0;;Voirie;48.888802, 2.213936
Nanterre;;92050-14;Nanterre/Ecoles/5;5 rue des Ecoles;92000;6.0;;Voirie;48.886795, 2.21857
Nanterre;;92050-20;Nanterre/Jules Quentin/33;33 Avenue Jules Quentin;92000;6.0;;Voirie;48.897305, 2.186604
Nanterre;;92050-21;Nanterre/Hoche/1;1 avenue Hoche;92000;7.0;;Voirie;48.902583, 2.196285
Nanterre;;92050-22;Nanterre/Lavoisier/14;14 rue Lavoisier;92000;7.0;;Voirie;48.896467, 2.17543
Plessis-Robinson;;92060-01;Plessis-Robinson/Charles-de-Gaulle/6;6 avenue Charles-de-Gaulle;92350;6.0;;Voirie;48.782458, 2.264467
Plessis-Robinson;;92060-03;Plessis-Robinson/Aristide Briand/51;51 avenue Aristide Briand;92350;6.0;;Voirie;48.779726, 2.260437
Rueil-Malmaison;;92063-02;Rueil-Malmaison/Albert 1er/98;98 avenue Albert 1er;92500;6.0;;Voirie;48.885302, 2.172457
Rueil-Malmaison;;92063-06;Rueil-Malmaison/Bois Préau/1;1 avenue de Bois Préau;92500;6.0;;Voirie;48.876713, 2.173826
Rueil-Malmaison;;92063-09;Rueil-Malmaison/Auguste Perret/4;4 Rue Auguste Perret;92500;4.0;;Voirie;48.889643, 2.167991
Rueil-Malmaison;;92063-13;Rueil-Malmaison/Bons Raisins/52;52 Rue des Bons Raisins;92500;6.0;;Voirie;48.872661, 2.194992
Rueil-Malmaison;;92063-17;Rueil-Malmaison/Henri Sainte-Claire Déville/12;12 rue Henri Sainte-Claire Déville;92500;6.0;;Voirie;48.892654, 2.172868
Saint-Cloud;;92064-02;Saint-Cloud/Armengaud/12;12 rue Armengaud;92220;6.0;1;Voirie;48.78532, 2.309181
Sceaux;;92071-04;Sceaux/Bagneux/52;52 Rue de Bagneux;92330;6.0;;Voirie;48.784315, 2.302909
Suresnes;;92073-06;Suresnes/Carnot/52;52 Rue Carnot;92150;6.0;;Voirie;48.874122, 2.227323
Suresnes;;92073-08;Suresnes/Huché/26;26 rue Huché;92150;5.0;1;Voirie;48.875997, 2.2208
Suresnes;;92073-11;Suresnes/Charles Péguy/1;1 rue Charles Péguy;92150;6.0;;Voirie;48.867984, 2.225265
Vanves;;92075-06;Vanves/Antoine Fratacci/34;34 Rue Antoine Fratacci;92170;6.0;;Voirie;48.820965, 2.288423
Courbevoie;1.0;92099-02;Courbevoie/André Prothin/12;12 Avenue André Prothin;92400;5.0;;Voirie;48.891835, 2.244047
Aulnay-sous-bois;;93005-06;Aulnay-sous-bois/Joseph Marie Jacquard/2;2 rue Joseph Marie Jacquard;93600;6.0;;Voirie;48.948715, 2.488127
Bagnolet;;93006-02;Bagnolet/Pasteur/124;124 avenue Pasteur;93170;6.0;;Voirie;48.875991, 2.417863
Bagnolet;;93006-05;Bagnolet/République/58;58 avenue de la République;93170;6.0;;Voirie;48.861094, 2.419083
Le Bourget;1.0;93013-02;Le Bourget/Anizan Cavillon/10;10 Rue Anizan Cavillon;93350;6.0;;Voirie;48.935073, 2.424885
Le Bourget;;93013-04;Le Bourget/Élise Deroche/10;10 avenue Élise Deroche;93350;6.0;;Voirie;48.93242, 2.426789
Clichy-sous-Bois;1.0;93014-01;Clichy-sous-Bois/11 Novembre 1918/1;1 place du 11 Novembre 1918;93390;5.0;1;Voirie;48.910956, 2.546273
Drancy;;93029-04;Drancy/Latéral/20;20 Chemin Latéral;93700;5.0;1;Voirie;48.932905, 2.451247
Drancy;;93029-05;Drancy/Marcelin Berthelot/2;2 Rue Marcelin Berthelot;93700;6.0;;Voirie;48.921432, 2.445732
